guid,town_code,town_name,town_county
000581a3-4ebd-4a74-b5f8-0bd78cd7ede5,06465,Allenwood,Kildare
002b83e4-5cce-414a-8570-871a50ae0964,08167,Portlaoise,Laois
005eec3f-d746-480f-ae2c-bc6f1151548d,02341,Dublin city and suburbs,Dublin
00b00ae4-229d-455d-84f1-d6face4876b1,10019,Ardee,Louth
00df2b78-66c8-4009-89e0-0e14e15e4208,06476,Monasterevin,Kildare
0117a71e-3e6a-445e-be5a-b4e79e6feb78,06451,Prosperous,Kildare
0138d4f1-7fda-46f9-9ccb-8821c5b9ac4c,02341,Dublin city and suburbs,Dublin
01f84d32-7411-4d29-bdd3-92c513c11e85,28132,Carrick-On-Shannon,Leitrim
02992bfa-7cf5-41a2-b657-d90b2b87a05a,07653,Clogh,Kilkenny
03281376-7f4d-41ac-926b-b74cec1d10b6,06444,Kilcock,Kildare
03dae8bc-a400-4285-96a2-3b9f084f25d1,03362,Rathcoole,Dublin
03f80fee-9bbf-4215-804a-f4b76a09a6ba,24643,Waterford city and suburbs,Waterford
0428df27-a1e7-4d78-a949-cf48e026ef33,11408,Ratoath,Meath
04f9efd9-6bdf-4e16-8a10-911de942c5a9,06464,Suncroft,Kildare
04fa3a14-afbe-4e99-a760-f209f50d156e,18824,Ballydehob,Cork
0566110e-d426-433d-9007-327d73600d18,19849,Tralee,Kerry
056f5166-a6a5-45aa-99c2-bd4e5ecab938,18791,Coachford,Cork
05aca421-086f-48db-8bc4-8b58d290f732,02341,Dublin city and suburbs,Dublin
05ca96b7-63cc-4e4e-96d0-7ee33bdcbfc3,19842,Fieries,Kerry
06192d69-db1b-49af-b03e-8067305ba789,18756,Kildorrery,Cork
061af5d9-7417-4946-b086-90095a481ddf,10013,Dundalk,Louth
0642d55d-8404-4fcf-8fc0-5e7ce85e11d8,17364,Cork city and suburbs,Cork
0650ffdc-d82b-49e5-943a-acd97c37c675,11416,Navan,Meath
06650182-eeaa-4c6c-847c-f85ddaf5361b,06433,Leixlip,Kildare
07323799-c1dc-42dc-a464-f14735c634b8,33080,Ballindrait,Donegal
07f4c0e1-ea06-4a3c-8a9a-31e999b19889,02341,Dublin city and suburbs,Dublin
08ce1729-2944-4bf4-86f1-0b8c5545ed17,18787,Bandon,Cork
08e82f06-46ee-4141-aa07-79a793a12b27,06472,Athy,Kildare
0920215b-86d3-4a53-9fc0-6008ae5c91f9,11414,Kilmessan,Meath
0957806c-a7cf-4d4e-a9cd-b1959aec4684,12201,Edenderry,Offaly
0974ebc4-6c50-4ded-a4fb-31f40487262e,06442,Naas,Kildare
0ad9190d-7e7c-4402-b99c-1366ce4f8a4a,18742,Fermoy,Cork
0b2f7026-3501-496d-9b63-46294d558053,06468,Kildare,Kildare
0b996639-63f1-4e65-b626-458338cabe16,09234,Drumlish,Longford
0c162a7b-7a52-40a3-8964-dfd121700c8c,18815,Baile Mhic Íre,Cork
0c2d1732-eff7-4295-9474-28b97f4f2b29,06465,Allenwood,Kildare
0c402726-c036-4ad9-a791-9006b5cda0b9,27289,Oranmore,Galway
0cf5fd66-4cc1-4d88-9886-dc72ee9282bc,15373,Newtownmountkennedy,Wicklow
0d151af3-3505-46ac-a25a-880d64854806,02341,Dublin city and suburbs,Dublin
0d3d99c4-2907-4970-8ee8-b7f5beddc00a,02341,Dublin city and suburbs,Dublin
0d5fbe17-4eb1-43bb-8f02-e63548ee8c27,10009,Drogheda,Louth
0daa02c9-4e30-45fe-90d7-6a1d3e7af2cb,25684,Dungarvan,Waterford
0df59567-f14c-4bb3-94ce-82e2c4d3158f,02341,Dublin city and suburbs,Dublin
0e12b08e-3484-48f5-a82a-d3bd1bc1f229,30247,Roscommon,Roscommon
0e57c869-df49-46c2-877b-36f156c13886,04352,Balbriggan,Dublin
0eb4764a-ad6a-415c-a6ac-53ed9866b751,04346,Portmarnock,Dublin
0ec65379-dfba-4d2e-a67a-0f09b67f423d,02341,Dublin city and suburbs,Dublin
0feea064-c033-4262-9496-73cc202c74b9,18808,Rosscarbery,Cork
102d6b84-3bc1-4fac-84a3-95fc352ec401,33065,Malin,Donegal
10333f0d-43e5-431e-989a-e857ab3e2fec,06476,Monasterevin,Kildare
1075fdaf-f65e-4fe8-b96b-f014e8d3c202,02341,Dublin city and suburbs,Dublin
10858921-7d82-47cf-8a92-6ce02012debd,17364,Cork city and suburbs,Cork
112d2293-68af-4d7e-a98c-d3100e046805,02341,Dublin city and suburbs,Dublin
116c9808-d42d-456b-916b-ad37a7b5eb08,02341,Dublin city and suburbs,Dublin
1176f444-d84c-4d45-8542-8b8c8f8faf34,12227,Shannonbridge,Offaly
118eb6e0-2bee-4d5d-ab0f-1a62533867d9,18744,Crosshaven,Cork
119aeef8-fe6a-4064-9860-7e4d1839c0a7,11411,Dunshaughlin,Meath
11e73824-8428-4859-89b6-5984ce985d62,02341,Dublin city and suburbs,Dublin
12228a5a-088b-48ae-80d6-98e831b07861,11423,Enfield,Meath
12392dce-3076-4901-bf2e-441bc628c988,11416,Navan,Meath
12455397-37be-4c8c-bad2-b37324a08e87,27277,Athenry,Galway
127f9e57-b3e5-4a90-96f2-9d5f359aedb0,02341,Dublin city and suburbs,Dublin
12b1a72d-5e6b-4be6-b41f-278060a65731,02341,Dublin city and suburbs,Dublin
1301cb26-3a8b-413d-9c06-38fa2018ab17,06434,Ballyoulster,Kildare
141ff078-b33a-4a78-ae00-cf1cfe5714bf,02341,Dublin city and suburbs,Dublin
14361c4d-6a82-4f45-b3d1-f078549fdd9d,02341,Dublin city and suburbs,Dublin
14f6cac1-d754-4fd2-adf9-58b104b4ecd9,06442,Naas,Kildare
153e9c1b-7914-4336-944e-6be1093e42bb,31152,Ballynacarrow,Sligo
157789fe-b892-48d6-80a1-5ea27ac9d3c1,14596,Wexford,Wexford
15d58d0c-1e66-4c6d-bf15-da1f6fec2a98,02341,Dublin city and suburbs,Dublin
16383dca-40e8-4034-a1a9-9befe258f83d,02341,Dublin city and suburbs,Dublin
1668854a-1d95-4e4a-8361-de983df617f5,04352,Balbriggan,Dublin
16ba8713-ede9-4103-b7ff-175f443272b0,33097,Na Dúnaibh,Donegal
17970706-d697-452b-81a2-183541f48e9e,02341,Dublin city and suburbs,Dublin
17b0be8b-2982-4672-bb89-6e1aa2702d17,06436,Celbridge,Kildare
1809ab6a-cb82-4f7f-9cae-af0334729b34,23715,Donaskeigh,Tipperary
180fbe01-c186-48e6-9b1d-65b39f947246,08173,Ballycolla,Laois
1847a8c0-1391-4935-bd00-43f354bbfbd9,02341,Dublin city and suburbs,Dublin
189bc6f0-ea1b-476c-9c4b-ed25add2cbb5,20497,Limerick city and suburbs,Limerick
190684fd-df4a-434f-8ff1-c0830c610cc6,06442,Naas,Kildare
1922760d-091c-4432-a513-b3c95b1c2cdf,34032,Monaghan,Monaghan
1985821d-cd9f-4e8d-a487-cdba02e2f7e6,02341,Dublin city and suburbs,Dublin
1a8eef85-4116-4593-91ca-bc1af25ac084,06444,Kilcock,Kildare
